Time (Ma),CO2 ppm max,CO2ppm min,T C max,T C min,Tavg
-125,2075.822404,519.2034677,35.13614662,21.93000685,28.53307674
-126,2040.085279,512.5349114,34.69782846,21.92838806,28.31310826
-127,2006.34817,505.5976137,34.29395345,21.82653384,28.06024365
-128,1974.561972,498.4647297,33.91620811,21.61438107,27.76529459
-129,1944.482426,491.2000816,33.55548702,21.29260584,27.42404643
-130,1915.707798,483.8668566,33.20347615,20.87195122,27.03771368
-131,1887.756102,476.5257426,32.85370023,20.36797318,26.61083671
-132,1860.165723,469.2316663,32.50181463,19.80141629,26.15161546
-133,1832.591176,462.0308777,32.14572085,19.19788586,25.67180336
-134,1804.863692,454.9599022,31.78542864,18.58558282,25.18550573
-135,1777.029528,448.0484253,31.4225797,17.99204092,24.70731031
-136,1749.348801,441.3271777,31.05969318,17.44018069,24.24993693
-137,1722.254942,434.8364489,30.69935842,16.9443747,23.82186656
-138,1696.260646,428.6268324,30.34360343,16.50767194,23.42563768
-139,1671.824396,422.7475815,29.99347258,16.12206878,23.05777068
-140,1649.207265,417.2220912,29.6488192,15.7747018,22.7117605
-141,1628.421162,412.0321712,29.30868718,15.45908527,22.38388623
-142,1609.253336,407.1176629,28.97288703,15.17274701,22.07281702
-143,1591.350319,402.3989249,28.64271842,14.91448254,21.77860048
-144,1574.289167,397.7969243,28.32129384,14.68309865,21.50219624
-145,1557.65208,393.2495038,28.01354977,14.47694798,21.24524888
-146,1541.11779,388.7240805,27.72591331,14.29381658,21.00986494
-147,1524.523394,384.2142424,27.46568968,14.13092673,20.7983082
-148,1507.892519,379.7317066,27.2401278,13.9850546,20.6125912
-149,1491.419721,375.3071187,27.05519517,13.85276935,20.45398226
-150,1475.427542,371.000601,26.91415025,13.7307483,20.32244928
-151,1460.316927,366.9111704,26.8161568,13.61611973,20.21613827
-152,1446.515616,363.1512699,26.75539695,13.50677384,20.1310854
-153,1434.404752,359.8216291,26.7214283,13.40157072,20.06149951
-154,1424.223544,356.987128,26.70150645,13.30037388,20.00094017
-155,1416.05784,354.6737706,26.68385042,13.20386431,19.94385736
-156,1409.891397,352.8813617,26.66060278,13.11313404,19.88686841
-157,1405.689455,351.6043362,26.6300183,13.02913155,19.82957493
-158,1403.480267,350.8521868,26.59667031,12.95214931,19.77440981
-159,1403.412573,350.6639229,26.56732596,12.88166071,19.72449333
-160,1405.779275,351.1140552,26.54317828,12.81677828,19.67997828
-161,1411.00526,352.3094923,26.52325112,12.75652587,19.6398885
-162,1419.609562,354.380039,26.50657032,12.69992932,19.60324982
-163,1432.156004,357.4660352,26.4922539,12.64610665,19.56918027
-164,1449.206617,361.7216144,26.47960049,12.59435649,19.53697849
-165,1471.275963,367.3549914,26.46814458,12.54421333,19.50617896
-166,1498.787853,374.6370768,26.45766757,12.49545857,19.47656307
-167,1532.041018,383.8497868,26.44819495,12.4481177,19.44815632
-168,1571.206439,395.198716,26.43992348,12.40238748,19.42115548
-169,1616.421651,408.7035229,26.43307739,12.35849214,19.39578477
-170,1667.92537,424.1213311,26.42783277,12.31660777,19.37222027
-171,1726.026294,440.9721376,26.42430155,12.2768463,19.35057392
-172,1790.98043,458.6269717,26.42258711,12.23931111,19.33094911
-173,1862.862974,476.4195334,26.42286132,12.20417407,19.31351769
-174,1941.471767,493.7716222,26.42540057,12.17171157,19.29855607
-175,2026.261672,510.3023911,26.43059232,12.14231107,19.2864517
-176,2116.306152,525.8456584,26.43890764,12.11644364,19.27767564
-177,2210.345148,540.4168348,26.45087741,12.09464016,19.27275879
-178,2306.991167,554.1848799,26.46706482,12.07746382,19.27226432
-179,2404.692208,567.3924102,26.48805921,12.06550396,19.27678159
-180,2501.058797,580.1235604,26.51439961,12.05929961,19.28684961
-181,2591.276053,591.8747685,26.54635075,12.0591155,19.30273313
-182,2668.824838,601.7553547,26.58388379,12.06492279,19.32440329
-183,2730.875573,609.1264679,26.62685324,12.07657599,19.35171461
-184,2778.003839,613.7898158,26.67517432,12.09399032,19.38458232
-185,2812.0052,615.8320488,26.72896308,12.11728183,19.42312246
-186,2834.885377,615.7331012,26.78860481,12.14683581,19.46772031
-187,2847.963539,614.0639562,26.85470207,12.18325482,19.51897844
-188,2851.443189,611.3580156,26.92783509,12.22711909,19.57747709
-189,2845.424049,608.219903,27.00837419,12.27879894,19.64358657
-190,2831.524561,605.4562591,27.09652086,12.33849586,19.71750836
-191,2813.325261,604.2496968,27.1926549,12.40658965,19.79962227
-192,2794.301146,605.7485517,27.29767002,12.48397402,19.89082202
-193,2776.246956,610.4946557,27.41301927,12.57210202,19.99256065
-194,2759.914083,618.4730397,27.54047845,12.67274945,20.10661395
-195,2744.015333,628.9390257,27.68178669,12.78765544,20.23472106
-196,2724.973185,640.8109709,27.8383207,12.9181967,20.3782587
-197,2698.936136,652.9956791,28.01087439,13.06516714,20.53802077
-198,2664.301994,664.5541637,28.19955839,13.22867739,20.71411789
-199,2622.700645,674.7823476,28.40379148,13.40814623,20.90596886
-200,2578.682242,683.2410166,28.62232972,13.60232972,21.11232972
-201,2538.481497,689.7374417,28.8533219,13.80937665,21.33134928
-202,2507.875391,694.2447652,29.09442245,14.02694145,21.56068195
-203,2490.419405,696.8503871,29.34296805,14.2523608,21.79766443
-204,2487.037867,697.7692598,29.59606583,14.48274183,22.03940383
-205,2496.425001,697.3157669,29.85069631,14.71506506,22.28288068
-206,2515.739061,695.770606,30.10387919,14.94635019,22.52511469
-207,2541.441506,693.2889926,30.35275808,15.17374083,22.76324945
-208,2570.017064,689.8216559,30.59464329,15.39454729,22.99459529
-209,2598.444343,685.0977924,30.82706302,15.60629777,23.2166804
-210,2624.490579,678.7278126,31.04783667,15.80681167,23.42732417
-211,2647.012198,670.3768157,31.25516426,15.99428901,23.62472663
-212,2666.285993,659.9504336,31.44770543,16.16738943,23.80754743
-213,2683.940491,647.7115159,31.62464162,16.32529437,23.97496799
-214,2702.541985,634.2816145,31.78572648,16.46775748,24.12674198
-215,2725.221784,620.5865882,31.9313008,16.59511955,24.26321018
-216,2754.891396,607.6577724,32.06222764,16.70824364,24.38523564
-217,2793.185707,596.4381764,32.17983206,16.80845481,24.49414343
-218,2839.534553,587.560633,32.28592407,16.89756307,24.59174357
-219,2890.65452,581.1147872,32.38269445,16.9777592,24.68022683
-220,2941.108839,576.5995956,32.47245692,17.05135692,24.76190692
-221,2985.354891,573.2084349,32.55731278,17.12045753,24.83888515
-222,3020.702588,570.4133699,32.63881346,17.18661246,24.91271296
-223,3047.43549,567.9568741,32.71770509,17.25056784,24.98413646
-224,3064.046449,565.4542825,32.79391229,17.31224829,25.05308029
-225,3067.851507,562.4021369,32.86690163,17.37112038,25.119011
-226,3056.922956,558.417014,32.93617044,17.42668144,25.18142594
-227,3030.730297,553.1694436,33.00161712,17.47882987,25.2402235
-228,2991.079531,546.7233778,33.06357634,17.52790034,25.29573834
-229,2942.473113,539.6377628,33.12273327,17.57457802,25.34865564
-230,2890.486395,532.714854,33.17998932,17.61976432,25.39987682
-231,2839.119656,526.6462195,33.23634587,17.66446062,25.45040324
-232,2789.175504,521.5746767,33.29278165,17.70964565,25.50121365
-233,2739.085557,517.2288599,33.35013503,17.75615778,25.5531464
-234,2685.756442,513.2990304,33.40901863,17.80460963,25.60681413
-235,2624.439858,509.3470873,33.46978914,17.85535789,25.66257352
-236,2551.430042,505.1407863,33.53257117,17.90852717,25.72054917
-237,2466.254585,500.509907,33.59732864,17.96408139,25.78070501
-238,2371.254216,495.2597428,33.66395548,18.02191448,25.84293498
-239,2270.039115,489.1929957,33.73231022,18.08284742,25.90757882
-240,2166.441927,482.1236774,33.80219023,18.15026834,25.97622928
-241,2063.69633,473.8775029,33.87337427,18.22694469,26.05015948
-242,1963.926847,464.3089673,33.94570532,18.31309195,26.12939864
-243,1868.377131,453.3301205,34.01913981,18.40615677,26.21264829
-244,1777.72726,440.9470679,34.09381764,18.50147661,26.29764713
-245,1692.499696,427.2959178,34.17003282,18.59325471,26.38164377
-246,1613.106762,412.6355188,34.24801812,18.67551164,26.46176488
-247,1539.789747,397.3098328,34.32783261,18.74286123,26.53534692
-248,1472.627321,381.7002251,34.40938412,18.79105867,26.60022139
-249,1411.574944,366.1820953,34.49254354,18.81729966,26.6549216
-250,1356.511074,351.0900909,34.57729158,18.8202918,26.69879169
-251,1307.28367,336.6913224,34.6637453,18.80014675,26.73194602
-252,1263.70364,323.1685292,34.75211863,18.7581608,26.75513972
-253,1225.545016,310.6229831,34.84249146,18.69653482,26.76951314
-254,1192.57717,299.100192,34.9346414,18.61807564,26.77635852
-255,1164.620076,288.6209233,35.02799448,18.5259102,26.77695234
-256,1141.548313,279.2007635,35.12165131,18.42323525,26.77244328
-257,1123.271272,270.8570602,35.21446878,18.31311687,26.76379282
-258,1109.696605,263.614635,35.30517462,18.19847871,26.75182667
-259,1100.674678,257.5086706,35.39233291,18.08253314,26.73743302
-260,1095.940633,252.5781004,35.47425266,17.96879582,26.72152424
-261,1095.072823,248.8509727,35.54897713,17.86091431,26.70494572
-262,1097.466948,246.3238187,35.61438387,17.7624681,26.68842598
-263,1102.340477,244.9407267,35.66844464,17.67678205,26.67261334
-264,1108.799061,244.5792041,35.70968224,17.60670834,26.65819529
-265,1115.962349,245.0487376,35.73745011,17.5544078,26.64592895
-266,1123.057564,246.1062696,35.75139448,17.5212663,26.63633039
-267,1129.479026,247.4839896,35.7511286,17.51029848,26.63071354
-268,1134.819706,248.926797,35.73601197,17.52953812,26.63277504
-269,1138.870327,250.2505909,35.70504921,17.58244488,26.64374704
-270,1141.584735,251.4277869,35.65699756,17.66301641,26.66000698
-271,1143.034826,252.6068042,35.59062248,17.75651308,26.67356778
-272,1143.343888,254.0334659,35.50495439,17.84300977,26.67398208
-273,1142.580131,255.9373445,35.39919736,17.90186826,26.65053281
-274,1140.62487,258.4581946,35.27261861,17.91575173,26.59418517
-275,1137.128553,261.6178011,35.12463129,17.87304105,26.49883617
-276,1131.606979,265.3340441,34.95497759,17.76756266,26.36127013
-277,1123.563729,269.4223351,34.76342055,17.59620938,26.17981496
-278,1112.588097,273.5683427,34.54929591,17.36076261,25.95502926
-279,1098.422928,277.3265196,34.31129622,17.06768534,25.68949078
-280,1080.973471,280.1389985,34.04749205,16.72626025,25.38687615
-281,1060.163365,281.3983494,33.75551959,16.34676132,25.05114045
-282,1035.739097,280.5495673,33.43299019,15.93903624,24.68601322
-283,1007.511678,277.2135726,33.07808801,15.51152474,24.29480637
-284,975.9205201,271.2759705,32.690099,15.07076978,23.88043439
-285,942.276122,262.8943553,32.26966711,14.62138715,23.44552713
-286,908.4751197,252.4232709,31.81876093,14.16672825,22.99274459
-287,876.5269545,240.3231135,31.34036086,13.71066009,22.52551048
-288,848.1075609,227.0732048,30.83806692,13.25802796,22.04804744
-289,824.2979759,213.1051608,30.31558299,12.81435148,21.56496723
-290,805.6814657,198.7832786,29.77640677,12.3852041,21.08080543
-291,792.5505048,184.4143723,29.22367176,11.97540835,20.59954006
-292,785.0433192,170.2639116,28.66012856,11.58819486,20.12416171
-293,783.2233616,156.5776068,28.08826701,11.22441715,19.65634208
-294,787.1210411,143.598991,27.51046913,10.88186373,19.19616643
-295,796.7305109,131.5743797,26.92921089,10.55487894,18.74204492
-296,811.9537711,120.7511164,26.34741798,10.23457095,18.29099447
-297,832.5205174,111.3716818,25.76887634,9.909864175,17.83937026
-298,857.9345601,103.6616365,25.1985448,9.569361156,17.38395298
-299,887.445867,97.80629599,24.64266825,9.203919338,16.92329379
-300,920.0546381,93.92001911,24.10857817,8.809682267,16.45913022
-301,954.5441884,92.01602245,23.60386332,8.390750706,15.99730701
-302,989.5126111,91.98336328,23.13549397,7.960606703,15.54805034
-303,1023.390166,93.57493233,22.70979715,7.540654554,15.12522585
-304,1054.488622,96.41565358,22.3322876,7.153614278,14.74295094
-305,1081.090904,100.0357201,22.00762248,6.813938721,14.4107806
-306,1101.573286,103.9262838,21.73959904,6.531603641,14.13560134
-307,1114.573992,107.6102565,21.5312379,6.314182732,13.92271031
-308,1119.153562,110.7145527,21.38497637,6.166686048,13.77583121
-309,1114.901478,113.0206292,21.30275972,6.091660536,13.69721013
-310,1101.969172,114.471248,21.2860771,6.089354993,13.68771604
-311,1081.049824,115.1148477,21.33583338,6.15819384,13.74701361
-312,1053.293427,115.0648514,21.45192947,6.295513473,13.87372147
-313,1020.184579,114.4918519,21.63275069,6.498253437,14.06550206
-314,983.4326122,113.6162489,21.87505335,6.762884352,14.31896885
-315,944.8918955,112.670559,22.17399964,7.084568392,14.62928402
-316,906.4394076,111.8504193,22.52313527,7.456851274,14.98999327
-317,869.7901285,111.2718255,22.91440444,7.871677192,15.39304082
-318,836.3017953,110.9556794,23.33834697,8.319585968,15.82896647
-319,806.8200492,110.8582806,23.78489283,8.790507578,16.2877002
-320,781.6267766,110.9091368,24.24436601,9.274766013,16.75956601
-321,760.5835959,111.066787,24.70805415,9.7636489,17.23585152
-322,743.5546487,111.3610204,25.16838028,10.24957928,17.70897978
-323,730.9007523,111.9126591,25.6187251,10.72593785,18.17233147
-324,723.4268709,112.9000783,26.05305251,11.18668851,18.61987051
-325,721.8489042,114.4960163,26.46576921,11.62623796,19.04600359
-326,726.4101872,116.8189417,26.85162414,12.03933514,19.44547964
-327,736.8718147,119.9179096,27.20577304,12.42113579,19.81345442
-328,752.6627639,123.7867249,27.52413758,12.76756158,20.14584958
-329,773.1049563,128.3936735,27.80370492,13.07559967,20.4396523
-330,797.5994244,133.7074297,28.04247856,13.34325356,20.69286606
-331,825.5786703,139.6950601,28.23946248,13.56952723,20.90449485
-332,856.4243614,146.3132589,28.3950483,13.7548123,21.0749303
-333,889.4693273,153.5076995,28.51126864,13.90114139,21.20620501
-334,924.0299443,161.2149988,28.59156227,14.01195327,21.30175777
-335,959.4446141,169.3644113,28.64055174,14.09187049,21.36621111
-336,995.1154278,177.879266,28.66372686,14.14638286,21.40505486
-337,1030.548757,186.6788012,28.66641317,14.18081592,21.42361455
-338,1065.389309,195.6806426,28.6527132,14.1992722,21.4259927
-339,1099.441407,204.8039251,28.62594273,14.20506748,21.4155051
-340,1132.671276,213.9729303,28.58882003,14.20092003,21.39487003
-341,1165.185528,223.1211142,28.54378774,14.18927249,21.36653012
-342,1197.184434,232.1952669,28.49345204,14.17273104,21.33309154
-343,1228.89493,241.1587679,28.44120841,14.15471185,21.29796013
-344,1260.498609,249.9931187,28.39160938,14.1400682,21.26583879
-345,1292.085567,258.6971813,28.35011984,14.13537355,21.2427467
-346,1323.672526,267.2842834,28.32259986,14.14817372,21.23538679
-347,1355.259484,275.7784058,28.31495252,14.18599029,21.25047141
-348,1386.846443,284.209592,28.33277024,14.25531964,21.29404494
-349,1418.433401,292.6103905,28.38109611,14.36073023,21.37091317
-350,1450.02036,301.0168332,28.46460703,14.50410916,21.48435809
-351,1481.607318,309.4640683,28.58758812,14.68435956,21.63597384
-352,1513.194277,317.9790674,28.75321662,14.89763703,21.82542683
-353,1544.781235,326.5741291,28.96258563,15.13804716,22.05031639
-354,1576.368194,335.2435294,29.21421263,15.39877829,22.30649546
-355,1607.955152,343.9657498,29.50416091,15.67332352,22.58874221
-356,1639.542111,352.7090828,29.82649373,15.95595548,22.89122461
-357,1671.129069,361.4361846,30.17351039,16.24151074,23.20751057
-358,1702.716027,370.1086337,30.5363049,16.52516355,23.53073423
-359,1734.302986,378.6916739,30.90525718,16.80217039,23.85371379
-360,1765.889944,387.1578127,31.27040619,17.06770504,24.16905562
-361,1797.476903,395.4874832,31.62176053,17.31686596,24.46931324
-362,1829.063861,403.6668301,31.94933777,17.54464146,24.74698962
-363,1860.65082,411.6866112,32.24344016,17.7463115,24.99487583
-364,1892.237778,419.5413715,32.49511856,17.91787557,25.20649707
-365,1923.824737,427.2282946,32.69658576,18.05630595,25.37644585
-366,1955.411695,434.746214,32.84177762,18.15993939,25.50085851
-367,1986.998654,442.0955215,32.92724511,18.22924287,25.57824399
-368,2018.585612,449.2791034,32.95279717,18.26734109,25.61006913
-369,2050.17257,456.3028881,32.92147481,18.27974698,25.60061089
-370,2081.759529,463.1762258,32.83912507,18.27356605,25.55634556
-371,2113.346487,469.9118257,32.7136236,18.25634102,25.48498231
-372,2144.933446,476.525336,32.55340917,18.23430455,25.39385686
-373,2176.520404,483.034704,32.36612302,18.21090154,25.28851228
-374,2208.107363,489.4593826,32.1582306,18.18652953,25.17238006
-375,2239.694321,495.819404,31.93545243,18.1593004,25.04737642
-376,2271.28128,502.1343405,31.70239354,18.12526627,24.9138299
-377,2302.868238,508.4221809,31.46265283,18.07937929,24.77101606
-378,2334.455197,514.69819,31.21896285,18.0166876,24.61782523
-379,2366.042155,520.9738554,30.9731493,17.93340826,24.45327878
-380,2397.629114,527.2560709,30.72612851,17.82778287,24.27695569
-381,2429.21089,533.5467294,30.47819275,17.70046231,24.08932753
-382,2460.757965,539.8429075,30.22977871,17.55436476,23.89207174
-383,2492.206279,546.1378484,29.98245265,17.39471624,23.68858445
-384,2523.472149,552.4229203,29.74002034,17.22909783,23.48455909
-385,2554.478675,558.6900677,29.50963719,17.06745761,23.2885474
-386,2585.181285,564.933846,29.30210256,16.92187027,23.11198641
-387,2615.586165,571.1522277,29.1303231,16.80569339,22.96800825
-388,2645.75937,577.3452713,29.00743067,16.73274547,22.87008807
-389,2675.826919,583.5131395,28.94523585,16.71627409,22.83075497
-390,2706.244672,589.6554701,28.95337069,16.76799261,22.86068165
-391,2738.319168,595.7713902,29.03817335,16.89647975,22.96732655
-392,2773.324737,601.8596574,29.2021259,17.1059399,23.1540329
-393,2811.879713,607.9188652,29.44333747,17.39545862,23.41939805
-394,2853.778722,613.9476638,29.75534961,17.75871445,23.75703203
-395,2898.08705,619.9449542,30.1275257,18.18456845,24.15604707
-396,2943.361759,625.910021,30.5458345,18.65819619,24.60201534
-397,2987.909753,631.8425874,30.99346945,19.1620622,25.07776582
-398,3030.027444,637.7427858,31.45163868,19.67695768,25.56429818
-399,3068.192067,643.6110567,31.90064491,20.18309966,26.04187228
-400,3101.192584,649.4479968,32.32082362,20.66082362,26.49082362
-401,3128.200148,655.2541894,32.69342648,21.09138123,26.89240385
-402,3148.785029,661.0301206,33.00129316,21.45761216,27.22945266
-403,3153.207246,666.756138,33.22945486,21.74454761,27.48700124
-404,3153.398195,672.4610537,33.36572226,21.93999826,27.65286026
-405,3153.251228,678.1515944,33.40114282,22.03501157,27.71807719
-406,3153.308689,683.8267209,33.33017359,22.02404459,27.67710909
-407,3153.174462,689.484278,33.15096439,21.90524714,27.52810576
-408,3152.353099,695.1226136,32.86567112,21.68077512,27.27322312
-409,3150.407117,700.7406317,32.480648,21.35698275,26.91881538
-410,3146.973064,706.3376502,32.00596575,20.94394075,26.47495325
-411,3141.767595,711.913283,31.45459915,20.4546239,25.95461152
-412,3134.614841,717.4673586,30.84210213,19.90458613,25.37334413
-413,3125.428026,722.9998615,30.18580645,19.3111592,24.74848283
-414,3114.185335,728.5108899,29.50373164,18.69236264,24.09804714
-415,3100.912066,734.0006232,28.81336767,18.06568642,23.43952705
-416,3085.667527,739.4692975,28.13042561,17.44684161,22.78863361
-417,3068.535541,744.9171879,27.4679256,16.84884835,22.15838697
-418,3049.617611,750.3445947,26.83558923,16.28142823,21.55850873
-419,3029.027847,755.7518337,26.23974633,15.75091108,20.9953287
-420,3006.888816,761.1392267,25.68433477,15.26123477,20.47278477
-421,2983.327462,766.5070926,25.172292,14.81533675,19.99381438
-422,2958.470253,771.8557332,24.70556583,14.41546582,19.56051583
